0,0
0.0012,0.0011
0.0043,0.0041
0.0095,0.0088
0.0169,0.0156
0.0263,0.0242
0.0378,0.0347
0.0514,0.0471
0.0671,0.0614
0.0849,0.0776
0.1047,0.0956
0.1268,0.1156
0.151,0.1375
0.1772,0.1613
0.2056,0.1869
0.236,0.2143
0.2686,0.2438
0.3033,0.2751
0.3401,0.3082
0.3791,0.3432
0.4202,0.3802
0.4634,0.4189
0.5088,0.4596
0.5562,0.5021
0.6059,0.5464
0.6577,0.5927
0.7117,0.6407
0.7678,0.6905
0.8261,0.7423
0.8866,0.7959
0.9492,0.8512
1.0141,0.9084
1.081,0.9673
1.1503,1.0281
1.2217,1.0906
1.2953,1.155
1.3713,1.2212
1.4493,1.289
1.5297,1.3587
1.6123,1.4301
1.6971,1.5032
1.7842,1.5781
1.8736,1.6547
1.9654,1.733
2.0593,1.813
2.1556,1.8947
2.2542,1.9781
2.3551,2.0632
2.4584,2.1499
2.5639,2.2384
2.6718,2.3285
2.782,2.4203
2.8945,2.5138
3.0093,2.609
3.1264,2.706
3.2457,2.8047
3.3672,2.9051
3.4909,3.0075
3.6167,3.1117
3.7445,3.2179
3.8743,3.3261
4.0059,3.4364
4.1394,3.5489
4.2745,3.6638
4.4111,3.7812
4.549,3.9012
4.6883,4.024
4.8285,4.1497
4.9698,4.2786
5.1118,4.4106
5.2544,4.5459
5.3975,4.6848
5.541,4.8273
5.6849,4.9734
5.8291,5.1232
5.9736,5.2768
6.1184,5.4339
6.2636,5.5947
6.4093,5.759
6.5556,5.9265
6.6996,6.094
6.8411,6.2604
6.98,6.4252
7.1167,6.5884
7.2519,6.7504
7.3865,6.912
7.5211,7.0736
7.6563,7.2358
7.7911,7.3973
7.9242,7.5565
8.0558,7.7134
8.1859,7.8678
8.3144,8.0197
8.4414,8.1692
8.5668,8.3161
8.6907,8.4606
8.8132,8.6027
8.9335,8.7427
9.0515,8.881
9.1672,9.0178
9.2806,9.1529
9.3914,9.2864
9.5,9.4183
9.606,9.5486
9.7097,9.6774
9.8109,9.8046
9.9095,9.9304
10.0057,10.0547
10.0993,10.1774
10.1904,10.2988
10.2789,10.4188
10.3648,10.5374
10.448,10.6545
10.5285,10.7703
10.6064,10.8848
10.6816,10.9981
10.7541,11.11
10.8238,11.2207
10.8907,11.3302
10.9549,11.4384
11.0164,11.5455
11.075,11.6512
11.1308,11.7558
11.1839,11.8592
11.2343,11.9612
11.2819,12.0621
11.327,12.1617
11.3696,12.2603
11.4098,12.3579
11.4478,12.4546
11.4837,12.5505
11.5176,12.6457
11.5496,12.7403
11.5799,12.8344
11.6086,12.9279
11.6358,13.0211
11.6617,13.1139
11.6864,13.2064
11.71,13.2987
11.7328,13.3908
11.7549,13.4827
11.7764,13.5746
11.7975,13.6665
11.8183,13.7582
11.8391,13.85
11.8599,13.9419
11.881,14.0338
11.9024,14.126
11.9244,14.2182
11.9472,14.3107
11.9707,14.4033
11.9953,14.4963
12.0211,14.5897
12.0481,14.6834
12.0765,14.7776
12.1065,14.8723
12.1383,14.9676
12.1718,15.0635
12.2073,15.1602
12.2447,15.2576
12.2844,15.3559
12.3263,15.4551
12.3705,15.5553
12.4168,15.6562
12.463,15.7543
12.509,15.8487
12.5546,15.9393
12.5999,16.0263
12.6447,16.1098
12.687,16.1924
12.7182,16.2849
12.7475,16.3789
12.7765,16.4728
12.8053,16.5668
12.8339,16.6607
12.8625,16.7545
12.8912,16.8484
12.9199,16.9424
12.9489,17.0365
12.9781,17.1306
13.0077,17.2249
13.0377,17.3194
13.0682,17.414
13.0993,17.5088
13.1311,17.6039
13.1635,17.6992
13.1968,17.7947
13.2309,17.8907
13.2659,17.9869
13.3018,18.0835
13.3388,18.1805
13.3769,18.2779
13.4161,18.3759
13.4564,18.4742
13.498,18.5731
13.5409,18.6726
13.5851,18.7726
13.6306,18.8732
13.6775,18.9744
13.7257,19.0763
13.7755,19.179
13.8267,19.2823
13.8794,19.3864
13.9336,19.4913
13.9895,19.597
14.0468,19.7035
14.1058,19.8109
14.1663,19.9192
14.2285,20.0284
14.2923,20.1385
14.3577,20.2496
14.4249,20.3618
14.4937,20.4748
14.5642,20.589
14.6364,20.7042
14.7103,20.8204
14.7859,20.9378
14.8633,21.0563
14.9423,21.176
15.0231,21.2967
15.1057,21.4187
15.19,21.5418
15.276,21.6661
15.3638,21.7917
15.4534,21.9185
15.5447,22.0465
15.6378,22.1759
15.7327,22.3064
15.8293,22.4383
15.9278,22.5716
16.028,22.706
16.1301,22.8419
16.236,22.9777
16.3456,23.1139
16.4581,23.2509
16.5738,23.389
16.6923,23.5281
16.8137,23.6684
16.9379,23.81
17.0648,23.9528
17.1943,24.0969
17.3266,24.2424
17.4615,24.3892
17.5988,24.5375
17.7388,24.6873
17.8813,24.8385
18.0263,24.9913
18.1737,25.1455
18.3236,25.3012
18.476,25.4586
18.6293,25.616
18.7812,25.7709
18.9315,25.9234
19.0801,26.0734
19.2272,26.2211
19.3726,26.3665
19.5164,26.5095
19.6584,26.6501
19.7989,26.7886
19.9375,26.9247
20.0744,27.0584
20.2097,27.19
20.3431,27.3193
20.4749,27.4463
20.6048,27.5712
20.733,27.6938
20.8594,27.8141
20.9841,27.9323
21.1068,28.0482
21.2279,28.162
21.3471,28.2735
21.4646,28.3829
21.5801,28.49
21.6939,28.5949
21.8059,28.6977
21.9161,28.7984
22.0244,28.8968
22.1309,28.993
22.2356,29.0871
22.3385,29.1791
22.4394,29.2688
22.5386,29.3565
22.6359,29.4419
22.7313,29.5252
22.8248,29.6064
